Municipio,Hoy 17/07,18/07,19/07,20/07,21/07,22/07,23/07
Santo Domingo de la Calzada (La Rioja),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Santo Domingo de las Posadas (Ávila),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Santo Domingo-Caudilla (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Santo Tomé (Jaén),Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Santo Tomé de Zabarcos (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Santo Tomé del Puerto (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Santomera (Murcia),Extremo,Muy alto,Muy alto,Muy alto,Alto,Moderado,Muy alto
Santorcaz (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Santovenia (Zamora),Alto,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Santovenia de Pisuerga (Valladolid),Alto,Alto,Alto,Muy alto,Alto,Extremo,Muy alto
Santovenia de la Valdoncina (León),Muy bajo,Bajo,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Santoyo (Palencia),Moderado,Alto,Moderado,Alto,Extremo,Alto,Extremo
Santoña (Cantabria),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Santpedor (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Santurde de Rioja (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Santurdejo (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Santurtzi (Vizcaya),Moderado,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Sanxenxo (Pontevedra),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Sanzoles (Zamora),Moderado,Moderado,Moderado,Alto,Alto,Muy alto,Muy alto
Sardón de Duero (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Sardón de los Frailes (Salamanca),Alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Sargentes de la Lora (Burgos),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Sariego (Asturias),Muy bajo,Muy bajo,Bajo,Bajo,Alto,Muy alto,Alto
Sariegos (León),Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Sariñena (Huesca),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Extremo
Saro (Cantabria),Muy bajo,Muy bajo,Bajo,Moderado,Muy alto,Muy alto,Muy alto
Sarracín (Burgos),Moderado,Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
Sarral (Tarragona),Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto
Sarreaus (Ourense),Bajo,Moderado,Moderado,Moderado,Extremo,Muy alto,Muy alto
Sarria (Lugo),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Sarrià de Ter (Girona),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Sarriés/Sartze (Navarra),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Sarrión (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Sarroca de Bellera (Lleida),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sarroca de Lleida (Lleida),Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Sartaguda (Navarra),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Sartajada (Toledo),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sasamón (Burgos),Muy alto,Muy alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Saucedilla (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Saucelle (Salamanca),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Sauquillo de Cabezas (Segovia),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
"Saus, Camallera i Llampaies (Girona)",Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Savallà del Comtat (Tarragona),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Sax (Alicante),Extremo,Extremo,Muy alto,Muy alto,Moderado,Muy alto,Muy alto
Sayalonga (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Alto
Sayatón (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Saúca (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Sebúlcor (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Secastilla (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Sedaví (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Sedella (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto
Sediles (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Segart (Valencia),Alto,Moderado,Moderado,Moderado,Moderado,Moderado,Alto
Segorbe (Castellón),Muy alto,Moderado,Moderado,Alto,Alto,Moderado,Muy alto
Segovia (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Segura (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Segura de León (Badajoz),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Segura de Toro (Cáceres),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Segura de la Sierra (Jaén),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Segura de los Baños (Teruel),Muy alto,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Segurilla (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Seira (Huesca),Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Selas (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Selaya (Cantabria),Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto
Sella (Alicante),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Alto
Sellent (Valencia),Muy alto,Moderado,Moderado,Bajo,Bajo,Moderado,Moderado
Selva (Baleares),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Semillas (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Sempere (Valencia),Alto,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Sena (Huesca),Muy alto,Alto,Moderado,Moderado,Moderado,Alto,Extremo
Sena de Luna (León),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Senan (Tarragona),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
Sencelles (Baleares),Alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo
Senija (Alicante),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Seno (Teruel),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Senterada (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sentmenat (Barcelona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Moderado
Senyera (Valencia),Muy alto,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Senés (Almería),Extremo,Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
Senés de Alcubierre (Huesca),Muy alto,Moderado,Moderado,Alto,Muy alto,Moderado,Extremo
Sepulcro-Hilario (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Sepúlveda (Segovia),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Sequera de Fresno (Segovia),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Sequeros (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Serinyà (Girona),Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Serra (Valencia),Muy alto,Moderado,Moderado,Alto,Alto,Moderado,Muy alto
Serra de Daró (Girona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Serrada (Valladolid),Alto,Alto,Alto,Muy alto,Alto,Extremo,Muy alto
Serradilla (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Serradilla del Arroyo (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Serradilla del Llano (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Serranillos (Ávila),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Serranillos del Valle (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Serrato (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Serrejón (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto,Extremo
Seròs (Lleida),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo
Serón (Almería),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Alto,Extremo
Serón de Nágima (Soria),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Sesa (Huesca),Muy alto,Alto,Alto,Alto,Muy alto,Alto,Extremo
Seseña (Toledo),Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo,Extremo
Sesma (Navarra),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Sestao (Vizcaya),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Sestrica (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Sesué (Huesca),Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Setcases (Girona),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Moderado
Setenil de las Bodegas (Cádiz),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Setiles (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Seva (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sevilla (Sevilla),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Sevilla la Nueva (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sevilleja de la Jara (Toledo),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sidamon (Lleida),Muy alto,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Sienes (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Siero (Asturias),Muy bajo,Muy bajo,Bajo,Bajo,Muy alto,Muy alto,Muy alto
Sierra Engarcerán (Castellón),Muy alto,Alto,Alto,Alto,Muy alto,Alto,Muy alto
Sierra de Aralar (nan),Moderado,Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo
Sierra de Fuentes (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto,Extremo
Sierra de Lokiz (nan),Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto,Extremo
Sierra de Luna (Zaragoza),Alto,Moderado,Moderado,Moderado,Muy alto,Alto,Extremo
Sierra de Yeguas (Málaga),Alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Sierro (Almería),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Siete Aguas (Valencia),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Siete Iglesias de Trabancos (Valladolid),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Sieteiglesias de Tormes (Salamanca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Sigeres (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Sigüenza (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Sigüés (Zaragoza),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Siles (Jaén),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Silla (Valencia),Moderado,Muy bajo,Muy bajo,Muy bajo,Moderado,Muy bajo,Muy bajo
Silleda (Pontevedra),Bajo,Bajo,Bajo,Moderado,Moderado,Alto,Muy alto
Sils (Girona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Simancas (Valladolid),Muy alto,Alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Simat de la Valldigna (Valencia),Alto,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Sinarcas (Valencia),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Sineu (Baleares),Moderado,Muy alto,Moderado,Muy alto,Extremo,Muy alto,Extremo
Singra (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Sinlabajos (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Siruela (Badajoz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Sisamón (Zaragoza),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Sisante (Cuenca),Muy alto,Muy alto,Extremo,Extremo,Muy alto,Extremo,Extremo
Sitges (Barcelona),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Siurana (Girona),Moderado,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Siétamo (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Soba (Cantabria),Muy bajo,Muy bajo,Muy bajo,Moderado,Moderado,Alto,Muy alto
Sober (Lugo),Bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Sobradiel (Zaragoza),Alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Sobradillo (Salamanca),Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Sobrado (A Coruña),Muy bajo,Bajo,Bajo,Muy alto,Muy alto,Muy alto,Muy alto
Sobrado (León),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Sobremunt (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sobrescobio (Asturias),Muy bajo,Muy bajo,Muy bajo,Bajo,Bajo,Moderado,Moderado
Socovos (Albacete),Muy alto,Moderado,Moderado,Bajo,Moderado,Moderado,Extremo
Socuéllamos (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Sojuela (La Rioja),Alto,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Solana de Rioalmar (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Solana de los Barros (Badajoz),Moderado,Muy alto,Alto,Moderado,Moderado,Alto,Extremo
Solana de Ávila (Ávila),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Solana del Pino (Ciudad Real),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Solanillos del Extremo (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Solarana (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Solera de Gabaldón (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Soliedra (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Solivella (Tarragona),Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto
Sollana (Valencia),Bajo,Bajo,Bajo,Bajo,Bajo,Bajo,Bajo
Solosancho (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Solsona (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Solórzano (Cantabria),Bajo,Muy bajo,Bajo,Muy alto,Extremo,Extremo,Extremo
Somiedo (Asturias),Muy bajo,Muy bajo,Muy bajo,Bajo,Bajo,Moderado,Moderado
Somolinos (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Somontín (Almería),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Somosierra (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Son Servera (Baleares),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Extremo
Soncarazo (nan),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Sondika (Vizcaya),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Soneja (Castellón),Muy alto,Muy alto,Moderado,Muy alto,Muy alto,Moderado,Muy alto
Sonseca (Toledo),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sopeira (Huesca),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Sopela (Vizcaya),Muy bajo,Moderado,Alto,Extremo,Extremo,Extremo,Muy bajo
Soportújar (Granada),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Sopuerta (Vizcaya),Moderado,Bajo,Moderado,Muy alto,Muy alto,Extremo,Muy alto
Sora (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Soraluze-Placencia de las Armas (Guipúzcoa),Alto,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Sorbas (Almería),Extremo,Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
Sordillos (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Soria (Soria),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Soriguera (Lleida),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sorihuela (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Sorihuela del Guadalimar (Jaén),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Sorlada (Navarra),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Sort (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sorvilán (Granada),Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo
Sorzano (La Rioja),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Sos del Rey Católico (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Soses (Lleida),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
Sot de Chera (Valencia),Extremo,Muy alto,Muy alto,Muy alto,Alto,Alto,Muy alto
Sot de Ferrer (Castellón),Alto,Moderado,Moderado,Moderado,Alto,Moderado,Alto
Sotalbo (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sotillo (Segovia),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Sotillo de la Adrada (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sotillo de la Ribera (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Sotillo de las Palomas (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Sotillo del Rincón (Soria),Extremo,Muy alto,Extremo,Extremo,Muy alto,Extremo,Muy alto
Soto de Cerrato (Palencia),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Alto
Soto de la Vega (León),Muy bajo,Bajo,Bajo,Moderado,Muy alto,Alto,Alto
Soto del Barco (Asturias),Muy bajo,Bajo,Bajo,Muy alto,Extremo,Extremo,Extremo
Soto del Real (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Soto en Cameros (La Rioja),Alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Soto y Amío (León),Bajo,Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Sotobañado y Priorato (Palencia),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Sotodosos (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Sotorribas (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sotosalbos (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sotoserrano (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Sotragero (Burgos),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Sotresgudo (Burgos),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Sotés (La Rioja),Alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Soutomaior (Pontevedra),Bajo,Moderado,Moderado,Moderado,Moderado,Alto,Moderado
Suances (Cantabria),Muy bajo,Muy bajo,Bajo,Muy alto,Extremo,Extremo,Muy alto
Subirats (Barcelona),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Sudanell (Lleida),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Sueca (Valencia),Bajo,Bajo,Bajo,Bajo,Bajo,Bajo,Moderado
Suellacabras (Soria),Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Suera/Sueras (Castellón),Muy alto,Muy alto,Alto,Alto,Muy alto,Alto,Muy alto
Suflí (Almería),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Sukarrieta (Vizcaya),Muy alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Sumacàrcer (Valencia),Muy alto,Moderado,Moderado,Bajo,Bajo,Moderado,Moderado
Sunbilla (Navarra),Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Sunyer (Lleida),Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto,Muy alto
Susinos del Páramo (Burgos),Moderado,Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
Susqueda (Girona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Sádaba (Zaragoza),Muy alto,Moderado,Alto,Alto,Extremo,Muy alto,Extremo
Sástago (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Muy alto
Sóller (Baleares),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Extremo
Súria (Barcelona),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto
Tabanera de Cerrato (Palencia),Alto,Moderado,Alto,Muy alto,Extremo,Extremo,Muy alto
Tabanera de Valdavia (Palencia),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Tabanera la Luenga (Segovia),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Tabera de Abajo (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Extremo,Muy alto
Tabernas (Almería),Extremo,Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
Taberno (Almería),Muy alto,Alto,Alto,Muy alto,Muy alto,Alto,Muy alto
Taboada (Lugo),Muy bajo,Bajo,Bajo,Bajo,Moderado,Alto,Alto
Taboadela (Ourense),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Tabuenca (Zaragoza),Moderado,Muy alto,Moderado,Moderado,Muy alto,Muy alto,Extremo
Tacoronte (Tenerife),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Tafalla (Navarra),Muy alto,Alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Tagamanent (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tahal (Almería),Extremo,Extremo,Muy alto,Extremo,Muy alto,Muy alto,Extremo
Tajahuerce (Soria),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Tajueco (Soria),Alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Talamanca (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Talamanca de Jarama (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Talamantes (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Talarn (Lleida),Extremo,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Talarrubias (Badajoz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Talavera (Lleida),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Talavera de la Reina (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Talavera la Real (Badajoz),Alto,Muy alto,Alto,Moderado,Moderado,Alto,Extremo
Talaveruela de la Vera (Cáceres),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Talaván (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Talayuela (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Talayuelas (Cuenca),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tales (Castellón),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Alto,Muy alto
Talveila (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Tamajón (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Tamames (Salamanca),Moderado,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Tamarite de Litera (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Tamariz de Campos (Valladolid),Alto,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Tamarón (Burgos),Alto,Muy alto,Moderado,Alto,Extremo,Muy alto,Extremo
Tamurejo (Badajoz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Tapia de Casariego (Asturias),Muy bajo,Muy bajo,Muy bajo,Moderado,Muy alto,Muy alto,Alto
Tapioles (Zamora),Alto,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Taradell (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Taragudo (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Taramundi (Asturias),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Moderado
Tarancón (Cuenca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Taravilla (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
